title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
CDL Class A Tanker Driver/Side Operator Qualified,Charmindustrial,"St. Landry, LA",Entry-Level,https://jobs.lever.co/charmindustrial/3e0de5bc-76f3-48c4-bce0-efb4ead8bbbe,"The role requires 2+ years of Class A CDL driving experience, comfort working around heavy machinery, and the physical ability to perform tasks such as climbing ladders and lifting up to 50 lbs. A strong communicator with a solutions-oriented mindset is also essential.",GHG Removal,Engineered Carbon Removal,Direct Air Capture,"Mechanical Engineering, Environmental Engineering, Chemical Engineering, Agricultural Science & Engineering, Energy Science & Engineering",26.0,36.0,hourly,Charm Industrial is a carbon removal company that converts biomass into bio-oil and injects it into underground storage for permanent carbon removal.,"CDL Class A Driving, Heavy Machinery Operation, Troubleshooting, Mechanical Skills, Electrical Skills, Forklift Operation",,Lever API,2026-02-14T19:18:05.809358
Engineering Fabricator,Charmindustrial,"Fort Lupton, CO",Entry-Level,https://jobs.lever.co/charmindustrial/570ab567-4e9a-4b13-94d7-af6cf928f1d7,"The candidate should have experience with engineering drawing interpretation, metal fabrication, and mechanical assembly. They should be proficient with machine tools, welding, and able to prioritize tasks.","GHG Removal, Food, Agriculture, & Nature",Biological Carbon Removal,Biomass Carbon Removal and Storage,"Mechanical Engineering, Materials Science & Engineering, Chemical Engineering, Environmental Engineering, Engineering Physics",30,45,hourly,Charm Industrial removes carbon from the atmosphere by converting biomass into bio-oil and injecting it into underground storage.,"Welding, Metal fabrication, Mechanical assembly, Engineering drawing interpretation, CAD (Onshape), Inventory management, Quality inspection, Plasma cutting",,Lever API,2026-02-14T19:18:05.813683
Geo-Chemical Scientist,Charmindustrial,"Fort Lupton, CO",Entry-Level,https://jobs.lever.co/charmindustrial/d84aa83e-17ea-49e1-99da-27e98067a4a9,"The candidate should have a background in Chemistry, Geochemistry, or Petroleum Chemistry and experience with laboratory experiments studying fluid behaviors under reservoir conditions. Strong understanding of bio-oil aging mechanisms and chemical interactions between bio-oil, formation brines, reservoir minerals, and gases is also required.",GHG Removal,Biological Carbon Removal,Biomass Carbon Removal and Storage,"Chemical Engineering, Environmental Engineering, Earth & Planetary Sciences, Chemistry, Materials Science & Engineering",165000,185000,yearly,Charm Industrial focuses on removing carbon dioxide from the atmosphere by converting inedible biomass into bio-oil and injecting it into underground storage.,"Geochemistry, Bio-oil analysis, Reservoir simulation, Laboratory experimentation, Data analysis, Fluid mechanics, Polymerization, Phase separation, Viscosity measurement, Subsurface injection",,Lever API,2026-02-14T19:18:05.815357
Land Acquisition Manager,Charmindustrial,"Fort Lupton, CO",Lead/Principal,https://jobs.lever.co/charmindustrial/e5c2f482-6b69-46a6-bd08-b7cef5a47bd1,"The Land Acquisition Manager will lead the acquisition of land, subsurface rights, and biomass feedstocks for carbon sequestration projects, requiring experience in negotiating complex commercial agreements and managing due diligence. Extensive travel to project sites and rural communities is required, along with a passion for relationship building and rural economic development.","GHG Removal, Food, Agriculture, & Nature","Biological Carbon Removal, Nature-Based Solutions","Biomass Carbon Removal and Storage, Reforestation","Environmental Science, Forestry & Natural Resources, Agricultural Science & Engineering, Earth & Planetary Sciences, Business Administration & Management",150000,175000,yearly,Charm Industrial focuses on removing carbon dioxide from the atmosphere by converting biomass into bio-oil and injecting it into underground storage.,"Land Acquisition, Negotiation, Commercial Agreements, Due Diligence, Biomass Sourcing, Relationship Building, Carbon Sequestration, Project Development",,Lever API,2026-02-14T19:18:05.816099
People & Safety Administrator,Charmindustrial,"Fort Lupton, CO",Entry-Level,https://jobs.lever.co/charmindustrial/126391b9-cc1a-46d7-999a-bbd9fc5760ea,"The role requires strong organizational skills, attention to detail, and a proactive mindset to support the People & Safety function at a fast-growing startup. It involves assisting with payroll, benefits, safety training, incident documentation, and hazardous waste management. Experience with powered industrial equipment like forklifts is a plus.",GHG Removal,Biological Carbon Removal,Biomass Carbon Removal and Storage,"Environmental Science, Occupational Health & Safety, Environmental Engineering, Business Administration & Management, Public Health & Epidemiology",35,40,hourly,Charm Industrial removes carbon from the atmosphere by converting biomass into bio-oil and injecting it into underground storage.,"Payroll Processing, Benefits Administration, Leave Management, Jira, PPE Inventory Management, Safety Training, Workers’ Compensation, Incident Documentation, Hazardous Waste Management, Forklift Operation",,Lever API,2026-02-14T19:18:05.817221
Pyrolysis Mechanical Engineer II,Charmindustrial,"Fort Lupton, CO",Associate,https://jobs.lever.co/charmindustrial/b0b3e005-f61b-45df-ae7e-3c7897693d74,"The role requires experience in designing mechanical and electromechanical solutions for pyrolysis technology, troubleshooting mechanical systems in production, and collaborating with cross-functional engineering teams. Strong analytical and problem-solving skills are essential, as well as the ability to work in a fast-paced environment and a passion for developing robust mechanical solutions.","GHG Removal, Food, Agriculture, & Nature","Biological Carbon Removal, Sustainable Crops","Biomass Carbon Removal and Storage, Soil Carbon Enhancement","Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Environmental Engineering, Agricultural Science & Engineering",74400,111600,yearly,Charm Industrial focuses on removing CO2 from the atmosphere by converting biomass into bio-oil and injecting it into underground storage.,"Pyrolysis, Mechanical Design, Electromechanical Systems, Troubleshooting, System Design, Root Cause Analysis, Biomass Processing",,Lever API,2026-02-14T19:18:05.817885
Electrical Engineer - Harness/Wiring/Distribution,Fleetzero,"Houston, TX",Associate,https://jobs.lever.co/fleetzero/05d91b4c-a563-419e-835b-dc2d693a88fc,"The candidate should have 3-5 years of automotive/aerospace harness experience with HV systems and proficiency in SolidWorks electrical/Altium Harness/ePlan, along with a hands-on prototyping mindset. They should also have an understanding of IPC standards.",Transportation,Vehicle Electrification,Battery Performance,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Energy Science & Engineering",120000,145000,yearly,"Fleetzero is developing autonomous, electric, and hybrid vessels.","High-voltage cable assemblies, Wire harnesses, SolidWorks electrical, Altium Harness, ePlan, IPC standards, Prototyping, Electrical safety testing, Circuit protection systems, Power distribution",,Lever API,2026-02-14T19:18:06.510325
Electrical Engineer - Power Systems,Fleetzero,"Houston, TX",Associate,https://jobs.lever.co/fleetzero/ba69b1ca-7909-4cec-956d-80bbc587b8d8,"The candidate must have 5+ years of experience in electrical engineering, focusing on system-level design, development, and testing, along with a degree in Electrical Engineering or equivalent. They should possess experience in power generation and distribution systems and be proficient in system testing and problem-solving.",Transportation,Vehicle Electrification,Battery Performance,"Electrical Engineering, Mechanical Engineering, Materials Science & Engineering, Energy Science & Engineering, Renewable Energy Engineering",117000,217000,yearly,Fleetzero is a maritime technology company focused on developing electric and hybrid vessel propulsion systems.,"Power Conversion, Power Distribution, Electrical System Design, System Testing, Troubleshooting, Marine Equipment Integration, Bidirectional Inverters, Circuit Protection, PWM Filtering, Marine Class Societies",,Lever API,2026-02-14T19:18:06.511790
Growth Manager - Maritime Electrification,Fleetzero,"Houston, TX",Associate,https://jobs.lever.co/fleetzero/87c1b7b3-870f-47fc-8966-21b1f0e6b3d4,"The role requires a sales professional to sell complex electrification systems to ship owners, manage the full sales cycle, lead technical discovery, present Fleetzero's solutions, and develop strong relationships with customers and industry stakeholders.",Transportation,Vehicle Electrification,Flexible EV Charging,"Mechanical Engineering, Electrical Engineering, Naval Architecture & Marine Engineering, Business Administration & Management, Engineering Physics",150000,175000,yearly,"Fleetzero is developing electric and hybrid-electric propulsion platforms for commercial vessels, aiming to provide next-generation technology for the maritime industry.","Sales, Prospecting, Technical qualification, Deal structuring, Negotiation, Customer relationship management, Market research, Strategic partnerships, Product positioning, Solution selling",,Lever API,2026-02-14T19:18:06.513129
Head of Strategic Partnerships,Fleetzero,"Houston, TX",Senior,https://jobs.lever.co/fleetzero/c825871f-39ed-4bec-ad0b-6626135efbb6,"The role requires 8-12+ years in partnerships/alliances/channel/BD for complex technical products. The candidate must have intimate knowledge of the integrator, shipyard, and vessel designer landscape and proven ability to network into the right people at the right time.",Transportation,Vehicle Electrification,Flexible EV Charging,"Engineering Physics, Business Administration & Management, Management Science & Engineering, Supply Chain & Logistics, Mechanical Engineering",150000,175000,yearly,Fleetzero is building the future of maritime through technology and requires a vastly expanded footprint.,"Strategic Partnerships, Deal Structuring, Negotiation, Market Expansion, Relationship Building, Account Management, Sales, Business Development",,Lever API,2026-02-14T19:18:06.515406
